longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.23,37.88,41,880,129.0,322,126,83252.0,452600,NEAR BAY
-122.22,37.86,21,7099,1106.0,2401,1138,83013.99999999999,358500,NEAR BAY
-122.24,37.85,52,1467,190.0,496,177,72574.0,352100,NEAR BAY
-122.25,37.85,52,1274,235.0,558,219,56430.99999999999,341300,NEAR BAY
-122.25,37.85,52,1627,280.0,565,259,38462.0,342200,NEAR BAY
-122.25,37.85,52,919,213.0,413,193,40368.00000000001,269700,NEAR BAY
-122.25,37.84,52,2535,489.0,1094,514,36591.0,299200,NEAR BAY
-122.25,37.84,52,3104,687.0,1157,647,31200.0,241400,NEAR BAY
-122.26,37.84,42,2555,665.0,1206,595,20804.0,226700,NEAR BAY
-122.25,37.84,52,3549,707.0,1551,714,36912.0,261100,NEAR BAY
-122.26,37.85,52,2202,434.0,910,402,32031.0,281500,NEAR BAY
-122.26,37.85,52,3503,752.0,1504,734,32705.000000000004,241800,NEAR BAY
-122.26,37.85,52,2491,474.0,1098,468,30750.0,213500,NEAR BAY
-122.26,37.84,52,696,191.0,345,174,26736.0,191300,NEAR BAY
-122.26,37.85,52,2643,626.0,1212,620,19167.0,159200,NEAR BAY
-122.26,37.85,50,1120,283.0,697,264,21250.0,140000,NEAR BAY
-122.27,37.85,52,1966,347.0,793,331,27750.0,152500,NEAR BAY
-122.27,37.85,52,1228,293.0,648,303,21202.0,155500,NEAR BAY
-122.26,37.84,50,2239,455.0,990,419,19911.0,158700,NEAR BAY
-122.27,37.84,52,1503,298.0,690,275,26033.0,162900,NEAR BAY
-122.27,37.85,40,751,184.0,409,166,13577.999999999998,147500,NEAR BAY
-122.27,37.85,42,1639,367.0,929,366,17135.0,159800,NEAR BAY
-122.27,37.84,52,2436,541.0,1015,478,17250.0,113900,NEAR BAY
-122.27,37.84,52,1688,337.0,853,325,21806.0,99700,NEAR BAY
-122.27,37.84,52,2224,437.0,1006,422,26000.0,132600,NEAR BAY
-122.28,37.85,41,535,123.0,317,119,24038.0,107500,NEAR BAY
-122.28,37.85,49,1130,244.0,607,239,24597.000000000004,93800,NEAR BAY
-122.28,37.85,52,1898,421.0,1102,397,18080.0,105500,NEAR BAY
-122.28,37.84,50,2082,492.0,1131,473,16424.0,108900,NEAR BAY
-122.28,37.84,52,729,160.0,395,155,16875.0,132000,NEAR BAY
-122.28,37.84,49,1916,447.0,863,378,19274.0,122300,NEAR BAY
-122.28,37.84,52,2153,481.0,1168,441,19615.0,115200,NEAR BAY
-122.27,37.84,48,1922,409.0,1026,335,17969.0,110400,NEAR BAY
-122.27,37.83,49,1655,366.0,754,329,13750.0,104900,NEAR BAY
-122.27,37.83,51,2665,574.0,1258,536,27303.0,109700,NEAR BAY
-122.27,37.83,49,1215,282.0,570,264,14861.0,97200,NEAR BAY
-122.27,37.83,48,1798,432.0,987,374,10972.0,104500,NEAR BAY
-122.28,37.83,52,1511,390.0,901,403,14103.000000000002,103900,NEAR BAY
-122.26,37.83,52,1470,330.0,689,309,34800.0,191400,NEAR BAY
-122.26,37.83,52,2432,715.0,1377,696,25898.0,176000,NEAR BAY
-122.26,37.83,52,1665,419.0,946,395,20978.0,155400,NEAR BAY
-122.26,37.83,51,936,311.0,517,249,12851.999999999998,150000,NEAR BAY
-122.26,37.84,49,713,202.0,462,189,10250.0,118800,NEAR BAY
-122.26,37.84,52,950,202.0,467,198,39643.0,188800,NEAR BAY
-122.26,37.83,52,1443,311.0,660,292,30125.0,184400,NEAR BAY
-122.26,37.83,52,1656,420.0,718,382,26768.0,182300,NEAR BAY
-122.26,37.83,50,1125,322.0,616,304,20259.999999999996,142500,NEAR BAY
-122.27,37.82,43,1007,312.0,558,253,17348.0,137500,NEAR BAY
